,TP9_theta,TP9_alpha,TP9_beta,TP9_theta_alpha,TP9_beta_alpha,TP9_engagement,AF7_theta,AF7_alpha,AF7_beta,AF7_theta_alpha,AF7_beta_alpha,AF7_engagement,AF8_theta,AF8_alpha,AF8_beta,AF8_theta_alpha,AF8_beta_alpha,AF8_engagement,TP10_theta,TP10_alpha,TP10_beta,TP10_theta_alpha,TP10_beta_alpha,TP10_engagement,alpha_asymmetry,label
1722,0.000108564694582,8.976751856809295e-05,2.409031599912945e-05,1.0951812355017243,0.2758725717540291,0.5155860347214223,0.0001174172204636,4.335030171393375e-05,2.3133168862173783e-05,2.3919607867447756,0.5287701674876285,0.607233077478265,0.000176428333845,4.905012350138729e-05,2.8332126458278625e-05,3.8013648070021673,0.6033724529398625,0.6478613847427444,0.0001455381128708,7.487711709390634e-05,2.5102957819134232e-05,1.8897370723285327,0.3106871082045803,0.450727063423124,-0.0021176767734054,0
1723,0.000190977138401,0.0001431431934936,2.1537136020818873e-05,1.2081678618169642,0.1546687215632372,0.2766744225113283,0.0001216076098626,5.673800248178176e-05,2.5760030070893892e-05,1.89278417140751,0.4498795634108737,0.5891181298157669,0.0001237461043672,6.126574909601433e-05,2.1470524586381427e-05,2.134642294545312,0.3660760525793884,0.546627934217925,8.387406364323126e-05,6.438022405692299e-05,1.9931873479435655e-05,1.2666276364823472,0.286908284928331,0.5032463416947915,-0.0010233849434686,0
1724,0.0001590514174516,0.0001992157899128,1.7585702848545598e-05,0.722986828750705,0.0907446896324869,0.1989438668392592,0.0001482458956752,6.985062109728244e-05,2.487995145309355e-05,1.874246855753264,0.3529418825055471,0.4645986172403244,8.170997157395262e-05,7.009189774678098e-05,2.0313674379027048e-05,1.232022283234553,0.3027380993534527,0.5733550129479162,8.420410921427663e-05,6.382326586132764e-05,2.476004257061801e-05,1.2827086429506966,0.3595173177893364,0.6272208706769993,0.0019196160699442,0
1725,8.343429643552233e-05,0.0001190502914822,2.114349707371032e-05,0.634644826928816,0.1825709199089939,0.4174034033148432,0.0001224574231461,6.923735726972455e-05,2.1892562781268825e-05,1.5619208353109697,0.3133141883479821,0.4523499044336139,5.4416291284508085e-05,6.539126631782086e-05,2.2624869622961612e-05,0.8794689554772019,0.3614204728247676,0.764635664173878,9.266371577287084e-05,8.395339550115764e-05,2.6595877764595172e-05,1.0731123770316913,0.2935780042085971,0.5506999055234658,0.0043384317549646,0
1726,0.0001277517869533,0.000135312147584,1.568145351122452e-05,1.0188136527062446,0.1158995819435517,0.2278265575894973,0.0001103918859397,0.0001001668857843,2.0967936080196488e-05,1.1391468418800708,0.2044303824763031,0.4017136962426967,0.0001636690125892,7.97761502383494e-05,2.9616705374887395e-05,2.172444442336636,0.3974424069817535,0.5548591303568704,8.929927346118485e-05,6.92889582661152e-05,1.676344999425041e-05,1.1857934463107738,0.2306377237575258,0.430098237060833,0.0001525922946896,0
1727,0.0001703393680976,0.0001485305524425,1.3288867774607275e-05,1.237552964668965,0.0894755806237024,0.1619367696998436,9.3706183170927e-05,8.817884639738699e-05,1.7057717344812684e-05,1.0984253949256382,0.1889167343206066,0.377519430005423,0.0001880392937075,6.537157637478856e-05,2.48611301919511e-05,3.0458951168362254,0.4071387549181577,0.4758613447560563,0.0001256475166957,4.293754503079345e-05,1.9342418978602513e-05,2.6924140729842407,0.4294420312370423,0.5157777309675341,0.0003843276415537,0
1728,0.0001151301425455,0.0001018001319303,1.6371698785712413e-05,1.2204086044848903,0.1608339567414108,0.2929047385260908,9.464930323704044e-05,7.277912592771035e-05,2.0718703893441835e-05,1.3442415496076223,0.2780159273024788,0.5040131805325123,0.0001492818053981,7.350138459231527e-05,2.4172280726591223e-05,2.1506347040184406,0.3520729369212578,0.493918209380052,0.0001291267953672,6.597983034371253e-05,2.282047253292066e-05,1.8006542510195918,0.3297193312120925,0.5017084059295525,-0.0006888966981214,0
1729,0.0001478782170089,9.776009964041536e-05,1.7775255288216258e-05,1.6323268691958557,0.181838798327569,0.2878968029278244,0.0001069605816318,0.0001182057557642,2.3783547692852617e-05,0.9353019957239675,0.1964951981495002,0.4212592139149717,0.0001371613782741,6.0495314655259296e-05,2.4551327223970372e-05,2.4008520149710084,0.4344739764077538,0.5772066616566685,0.0001077716733188,9.828829131515844e-05,2.2108837538298747e-05,1.0088532397565466,0.2144347150426814,0.4276391144127575,0.001911999478986,0
1730,0.0001862735680525,0.000167479844435,1.2561892162769469e-05,1.2001989545376697,0.0750109824351166,0.1376217764826003,9.97663042269166e-05,0.0001259716541856,2.905693880688753e-05,0.8186113867230524,0.2252635662262311,0.5094758472326439,0.000118937880198,5.6515953281869394e-05,2.5779439193236936e-05,2.2284578677337556,0.4883294788607529,0.6733473800982567,9.05406241974892e-05,9.874586492649492e-05,2.0604370091971644e-05,0.8436255382294907,0.1989167686646138,0.4241868545651691,0.0024470163429644,0
1731,0.0001286370296789,0.0001796396700327,1.43444417143571e-05,0.7727309621616215,0.0798571382799293,0.173819454834754,7.646894045996103e-05,8.795542572438246e-05,2.3531189328434134e-05,0.898647078808592,0.2612733849818724,0.5694535080167009,0.0001077851968421,7.117101381691776e-05,2.1233396921223297e-05,1.6036561641602858,0.319394078320763,0.5105485375659091,7.866764609346845e-05,8.165548507634529e-05,2.0916086101996654e-05,0.8864126483204615,0.2441889625336165,0.511547669676844,7.631634827205945e-05,0
